"","user","scheme","event","timeTaken_days"
"194","ast416","textrandom;az-6","testing",0
"195","ast416","textrandom;az-6","testing",0
"196","ast416","unknown;az-6","Successful Login",0
"197","ast416","textrandom;az-6","testing",0
"198","ast416","textrandom;az-6","testing",0.01
"199","ast416","unknown;az-6","Successful Login",0.01
"200","ast416","textrandom;az-6","testing",0.01
"201","ast416","textrandom;az-6","testing",0.01
"202","ast416","unknown;az-6","Successful Login",0.01
"203","ast416","unknown;N/A","testing",0.02
"204","ast416","textrandom;az-6","testing",1.4
"205","ast416","textrandom;az-6","testing",1.4
"206","ast416","unknown;az-6","Successful Login",1.4
"207","ast416","textrandom;az-6","testing",1.4
"208","ast416","textrandom;az-6","testing",1.4
"209","ast416","unknown;az-6","Successful Login",1.4
"210","ast416","textrandom;az-6","testing",1.4
"211","ast416","textrandom;az-6","testing",1.4
"212","ast416","unknown;az-6","Successful Login",1.4
"213","ast416","unknown;N/A","testing",1.4
"214","ast416","unknown;N/A","testing",1.4
"215","ast416","unknown;N/A","testing",1.4
"216","ast416","unknown;N/A","testing",1.4
"217","ast416","unknown;N/A","testing",1.4
"218","ast416","unknown;N/A","testing",1.4
"219","ast416","unknown;N/A","testing",2.87
"220","ast416","textrandom;az-6","testing",3.79
"221","ast416","textrandom;az-6","testing",3.79
"222","ast416","unknown;az-6","Successful Login",3.79
"223","ast416","textrandom;az-6","testing",3.79
"224","ast416","textrandom;az-6","testing",3.79
"225","ast416","unknown;az-6","Successful Login",3.79
"226","ast416","textrandom;az-6","testing",3.79
"227","ast416","textrandom;az-6","testing",3.79
"228","ast416","unknown;az-6","Successful Login",3.79
"229","ast416","unknown;N/A","testing",3.81
"230","ast416","unknown;N/A","testing",3.81
"231","ast416","unknown;N/A","testing",3.81
"232","ast416","textrandom;az-6","testing",6.98
"233","ast416","textrandom;az-6","testing",6.98
"234","ast416","unknown;az-6","Successful Login",6.98
"235","ast416","textrandom;az-6","testing",6.98
"236","ast416","textrandom;az-6","testing",6.99
"237","ast416","textrandom;az-6","testing",6.99
"238","ast416","unknown;az-6","Successful Login",6.99
"239","ast416","textrandom;az-6","testing",6.99
"240","ast416","textrandom;az-6","testing",6.99
"241","ast416","unknown;az-6","Successful Login",6.99
"242","ast416","unknown;N/A","testing",7
"243","ast416","unknown;N/A","testing",7
"244","ast416","textrandom;az-6","testing",7.77
"245","ast416","textrandom;az-6","testing",7.77
"246","ast416","unknown;az-6","Successful Login",7.77
"247","ast416","textrandom;az-6","testing",7.77
"248","ast416","textrandom;az-6","testing",7.77
"249","ast416","unknown;az-6","Successful Login",7.77
"250","ast416","textrandom;az-6","testing",7.77
"251","ast416","textrandom;az-6","testing",7.77
"252","ast416","unknown;az-6","Successful Login",7.77
"253","ast416","unknown;N/A","testing",7.78
"254","ast416","unknown;N/A","testing",7.78
"255","ast416","unknown;N/A","testing",7.78
"256","ast417","unknown;N/A","testing",0.01
"257","ast417","textrandom;az-6","Created Password",0
"258","ast417","textrandom;az-6","testing",0
"259","ast417","textrandom;az-6","testing",0
"260","ast417","textrandom;az-6","testing",0
"261","ast417","textrandom;az-6","Created Password",0
"262","ast417","textrandom;az-6","testing",0
"263","ast417","textrandom;az-6","testing",0
"264","ast417","textrandom;az-6","testing",0
"265","ast417","textrandom;az-6","testing",0
"266","ast417","textrandom;az-6","testing",0
"267","ast417","textrandom;az-6","testing",0
"268","ast417","textrandom;az-6","testing",0
"269","ast417","unknown;az-6","Successful Login",0
"270","ast417","textrandom;az-6","Created Password",0
"271","ast417","textrandom;az-6","testing",0
"272","ast417","textrandom;az-6","testing",0
"273","ast417","textrandom;az-6","testing",0
"274","ast417","textrandom;az-6","testing",0
"275","ast417","textrandom;az-6","testing",0
"276","ast417","unknown;az-6","Successful Login",0
"277","ast417","textrandom;az-6","Created Password",0
"278","ast417","textrandom;az-6","testing",0
"279","ast417","textrandom;az-6","testing",0
"280","ast417","textrandom;az-6","testing",0
"281","ast417","textrandom;az-6","testing",0
"282","ast417","textrandom;az-6","testing",0
"283","ast417","unknown;az-6","Successful Login",0
"284","ast417","unknown;N/A","testing",0.01
"285","ast417","textrandom;az-6","testing",1.38
"286","ast417","textrandom;az-6","testing",1.39
"287","ast417","unknown;az-6","Failed Login",1.39
"288","ast417","textrandom;az-6","testing",1.39
"289","ast417","textrandom;az-6","testing",1.39
"290","ast417","unknown;az-6","Successful Login",1.39
"291","ast417","textrandom;az-6","testing",1.39
"292","ast417","textrandom;az-6","testing",1.39
"293","ast417","unknown;az-6","Successful Login",1.39
"294","ast417","textrandom;az-6","testing",1.39
"295","ast417","textrandom;az-6","testing",1.39
"296","ast417","unknown;az-6","Successful Login",1.39
"297","ast417","unknown;N/A","testing",1.39
"298","ast417","textrandom;az-6","testing",3.33
"299","ast417","textrandom;az-6","testing",3.33
"300","ast417","unknown;az-6","Successful Login",3.33
"301","ast417","textrandom;az-6","testing",3.34
"302","ast417","textrandom;az-6","testing",3.34
"303","ast417","unknown;az-6","Successful Login",3.34
"304","ast417","textrandom;az-6","testing",3.34
"305","ast417","textrandom;az-6","testing",3.34
"306","ast417","unknown;az-6","Successful Login",3.34
"307","ast417","unknown;N/A","testing",3.34
"308","ast417","textrandom;az-6","testing",6.38
"309","ast417","textrandom;az-6","testing",6.38
"310","ast417","unknown;az-6","Successful Login",6.38
"311","ast417","textrandom;az-6","testing",6.38
"312","ast417","textrandom;az-6","testing",6.38
"313","ast417","unknown;az-6","Successful Login",6.38
"314","ast417","textrandom;az-6","testing",6.38
"315","ast417","textrandom;az-6","testing",6.38
"316","ast417","unknown;az-6","Successful Login",6.38
"317","ast417","unknown;N/A","testing",6.38
"318","ast417","unknown;N/A","testing",6.38
"319","ast417","textrandom;az-6","testing",7.45
"320","ast417","textrandom;az-6","testing",7.45
"321","ast417","unknown;az-6","Successful Login",7.45
"322","ast417","textrandom;az-6","testing",7.45
"323","ast417","textrandom;az-6","testing",7.45
"324","ast417","unknown;az-6","Successful Login",7.45
"325","ast417","textrandom;az-6","testing",7.46
"326","ast417","textrandom;az-6","testing",7.46
"327","ast417","unknown;az-6","Successful Login",7.46
"328","ast417","unknown;N/A","testing",7.46
"329","ast417","unknown;N/A","testing",7.46
"330","ast417","unknown;N/A","testing",7.46
"331","ast418","unknown;N/A","testing",0.02
"332","ast418","textrandom;az-6","Created Password",0
"333","ast418","textrandom;az-6","testing",0
"334","ast418","textrandom;az-6","testing",0
"335","ast418","textrandom;az-6","testing",0
"336","ast418","textrandom;az-6","testing",0
"337","ast418","textrandom;az-6","Created Password",0
"338","ast418","textrandom;az-6","testing",0
"339","ast418","textrandom;az-6","testing",0
"340","ast418","textrandom;az-6","testing",0
"341","ast418","textrandom;az-6","testing",0
"342","ast418","textrandom;az-6","testing",0
"343","ast418","textrandom;az-6","testing",0
"344","ast418","unknown;az-6","Successful Login",0
"345","ast418","textrandom;az-6","Created Password",0
"346","ast418","textrandom;az-6","testing",0
"347","ast418","textrandom;az-6","testing",0
"348","ast418","textrandom;az-6","testing",0
"349","ast418","textrandom;az-6","testing",0
"350","ast418","textrandom;az-6","testing",0
"351","ast418","textrandom;az-6","testing",0
"352","ast418","unknown;az-6","Successful Login",0
"353","ast418","textrandom;az-6","Created Password",0
"354","ast418","textrandom;az-6","testing",0
"355","ast418","textrandom;az-6","testing",0
"356","ast418","textrandom;az-6","testing",0
"357","ast418","textrandom;az-6","testing",0
"358","ast418","textrandom;az-6","testing",0
"359","ast418","textrandom;az-6","testing",0
"360","ast418","unknown;az-6","Successful Login",0
"361","ast418","unknown;N/A","testing",0
"362","ast418","unknown;N/A","testing",1.49
"363","ast418","textrandom;az-6","testing",1.49
"364","ast418","textrandom;az-6","Created Password",0
"365","ast418","textrandom;az-6","Created Password",0
"366","ast418","textrandom;az-6","testing",0
"367","ast418","textrandom;az-6","testing",0
"368","ast418","textrandom;az-6","testing",0
"369","ast418","unknown;az-6","testing",0
"370","ast418","unknown;az-6","testing",0
"371","ast418","textrandom;az-6","testing",0
"372","ast418","textrandom;az-6","testing",0
"373","ast418","unknown;az-6","Successful Login",0
"374","ast418","textrandom;az-6","Created Password",0
"375","ast418","textrandom;az-6","testing",0
"376","ast418","textrandom;az-6","testing",0
"377","ast418","textrandom;az-6","testing",0
"378","ast418","textrandom;az-6","testing",0
"379","ast418","textrandom;az-6","testing",0
"380","ast418","unknown;az-6","testing",0
"381","ast418","unknown;az-6","testing",0
"382","ast418","textrandom;az-6","testing",0
"383","ast418","textrandom;az-6","testing",0
"384","ast418","unknown;az-6","Successful Login",0
"385","ast418","textrandom;az-6","Created Password",0
"386","ast418","textrandom;az-6","testing",0
"387","ast418","textrandom;az-6","testing",0
"388","ast418","textrandom;az-6","testing",0
"389","ast418","unknown;az-6","testing",0
"390","ast418","unknown;az-6","testing",0
"391","ast418","textrandom;az-6","testing",0
"392","ast418","textrandom;az-6","testing",0
"393","ast418","unknown;az-6","Successful Login",0
"394","ast418","unknown;N/A","testing",0
"395","ast418","unknown;N/A","testing",0
"396","ast418","unknown;N/A","testing",0
"397","ast418","unknown;N/A","testing",1.35
"398","ast418","unknown;N/A","testing",1.46
"399","ast418","unknown;N/A","testing",1.46
"400","ast418","unknown;N/A","testing",1.46
"401","ast418","unknown;N/A","testing",1.46
"402","ast418","unknown;N/A","testing",1.46
"403","ast418","unknown;N/A","testing",3.05
"404","ast418","unknown;N/A","testing",3.05
"405","ast418","unknown;N/A","testing",3.05
"406","ast418","unknown;N/A","testing",3.06
"407","ast418","unknown;N/A","testing",3.06
"408","ast418","unknown;N/A","testing",4.03
"409","ast418","unknown;N/A","testing",4.36
"410","ast418","unknown;N/A","testing",6.26
"411","ast418","unknown;N/A","testing",6.42
"412","ast418","unknown;N/A","testing",6.43
"413","ast418","textrandom;az-6","testing",6.44
"414","ast418","textrandom;az-6","testing",6.44
"415","ast418","unknown;N/A","testing",6.44
"416","ast418","textrandom;az-6","Created Password",0
"417","ast418","textrandom;az-6","testing",0
"418","ast418","textrandom;az-6","testing",0
"419","ast418","textrandom;az-6","Created Password",0
"420","ast418","textrandom;az-6","testing",0
"421","ast418","textrandom;az-6","testing",0
"422","ast418","textrandom;az-6","testing",0
"423","ast418","textrandom;az-6","Created Password",0
"424","ast418","textrandom;az-6","testing",0
"425","ast418","textrandom;az-6","testing",0
"426","ast418","unknown;az-6","testing",0
"427","ast418","unknown;az-6","testing",0
"428","ast418","textrandom;az-6","testing",0
"429","ast418","textrandom;az-6","testing",0
"430","ast418","unknown;az-6","Successful Login",0
"431","ast418","textrandom;az-6","Created Password",0
"432","ast418","textrandom;az-6","testing",0
"433","ast418","textrandom;az-6","Created Password",0
"434","ast418","textrandom;az-6","testing",0
"435","ast418","textrandom;az-6","testing",0
"436","ast418","textrandom;az-6","testing",0
"437","ast418","textrandom;az-6","testing",0
"438","ast418","unknown;az-6","testing",0
"439","ast418","unknown;az-6","testing",0
"440","ast418","textrandom;az-6","testing",0
"441","ast418","textrandom;az-6","testing",0
"442","ast418","unknown;az-6","Successful Login",0
"443","ast418","textrandom;az-6","Created Password",0
"444","ast418","textrandom;az-6","testing",0
"445","ast418","textrandom;az-6","testing",0
"446","ast418","textrandom;az-6","testing",0
"447","ast418","textrandom;az-6","testing",0
"448","ast418","unknown;az-6","testing",0
"449","ast418","unknown;az-6","testing",0
"450","ast418","textrandom;az-6","testing",0
"451","ast418","textrandom;az-6","testing",0
"452","ast418","unknown;az-6","Failed Login",0
"453","ast418","textrandom;az-6","testing",0
"454","ast418","textrandom;az-6","testing",0
"455","ast418","unknown;az-6","Successful Login",0
"456","ast418","unknown;N/A","testing",0
"457","ast418","unknown;N/A","testing",0
"458","ast418","unknown;N/A","testing",0.87
"459","ast418","unknown;N/A","testing",0.89
"460","ast418","textrandom;az-6","testing",0.89
"461","ast418","textrandom;az-6","testing",0.89
"462","ast418","unknown;az-6","Failed Login",0.89
"463","ast418","textrandom;az-6","testing",0.89
"464","ast418","textrandom;az-6","testing",0.89
"465","ast418","unknown;az-6","Successful Login",0.89
"466","ast418","textrandom;az-6","testing",0.89
"467","ast418","textrandom;az-6","testing",0.89
"468","ast418","unknown;az-6","Successful Login",0.89
"469","ast418","textrandom;az-6","testing",0.89
"470","ast418","textrandom;az-6","testing",0.89
"471","ast418","unknown;az-6","Successful Login",0.89
"472","ast418","unknown;N/A","testing",0.89
"473","ast418","unknown;N/A","testing",0.89
"474","ast418","unknown;N/A","testing",1.79
"475","ast418","unknown;N/A","testing",2.93
"476","ast418","unknown;N/A","testing",2.94
"477","ast418","unknown;N/A","testing",2.94
"478","ast418","textrandom;az-6","testing",2.95
"479","ast418","textrandom;az-6","testing",2.95
"480","ast418","unknown;az-6","Successful Login",2.95
"481","ast418","textrandom;az-6","testing",2.95
"482","ast418","textrandom;az-6","testing",2.95
"483","ast418","unknown;az-6","Successful Login",2.95
"484","ast418","textrandom;az-6","testing",2.95
"485","ast418","textrandom;az-6","testing",2.95
"486","ast418","unknown;az-6","Successful Login",2.95
"487","ast418","unknown;N/A","testing",2.95
"488","ast418","unknown;N/A","testing",3.69
"489","ast418","unknown;N/A","testing",4.97
"490","ast418","unknown;N/A","testing",20.85
"491","ast418","unknown;N/A","testing",20.85
"492","ast422","unknown;N/A","testing",-7.85
"493","ast422","textrandom;az-6","Created Password",0
"494","ast422","textrandom;az-6","testing",0
"495","ast422","textrandom;az-6","testing",0
"496","ast422","textrandom;az-6","testing",0
"497","ast422","textrandom;az-6","testing",0
"498","ast422","textrandom;az-6","testing",0
"499","ast422","textrandom;az-6","testing",0
"500","ast422","textrandom;az-6","testing",0
"501","ast422","unknown;az-6","Successful Login",0
"502","ast422","textrandom;az-6","Created Password",0
"503","ast422","textrandom;az-6","testing",0
"504","ast422","textrandom;az-6","testing",0
"505","ast422","textrandom;az-6","testing",0
"506","ast422","textrandom;az-6","testing",0
"507","ast422","textrandom;az-6","testing",0
"508","ast422","textrandom;az-6","testing",0
"509","ast422","unknown;az-6","Successful Login",0
"510","ast422","textrandom;az-6","Created Password",0
"511","ast422","textrandom;az-6","testing",0
"512","ast422","textrandom;az-6","testing",0
"513","ast422","textrandom;az-6","testing",0
"514","ast422","textrandom;az-6","testing",0
"515","ast422","textrandom;az-6","testing",0
"516","ast422","textrandom;az-6","testing",0
"517","ast422","unknown;az-6","Successful Login",0
"518","ast422","unknown;N/A","testing",0.01
"519","ast422","textrandom;az-6","testing",2.2
"520","ast422","textrandom;az-6","testing",2.2
"521","ast422","unknown;az-6","Successful Login",2.2
"522","ast422","textrandom;az-6","testing",2.2
"523","ast422","textrandom;az-6","testing",2.2
"524","ast422","unknown;az-6","Successful Login",2.2
"525","ast422","textrandom;az-6","testing",2.2
"526","ast422","textrandom;az-6","testing",2.2
"527","ast422","unknown;az-6","Successful Login",2.2
"528","ast422","unknown;N/A","testing",2.2
"529","ast422","textrandom;az-6","testing",4.8
"530","ast422","textrandom;az-6","testing",4.8
"531","ast422","unknown;az-6","Successful Login",4.8
"532","ast422","textrandom;az-6","testing",4.81
"533","ast422","textrandom;az-6","testing",4.81
"534","ast422","unknown;az-6","Successful Login",4.81
"535","ast422","textrandom;az-6","testing",4.81
"536","ast422","textrandom;az-6","testing",4.81
"537","ast422","unknown;az-6","Successful Login",4.81
"538","ast422","unknown;N/A","testing",4.81
"539","ast422","textrandom;az-6","testing",7.08
"540","ast422","textrandom;az-6","testing",7.08
"541","ast422","unknown;az-6","Successful Login",7.08
"542","ast422","textrandom;az-6","testing",7.08
"543","ast422","textrandom;az-6","testing",7.08
"544","ast422","unknown;az-6","Successful Login",7.08
"545","ast422","textrandom;az-6","testing",7.08
"546","ast422","textrandom;az-6","testing",7.08
"547","ast422","unknown;az-6","Successful Login",7.08
"548","ast422","unknown;N/A","testing",7.08
"549","ast422","textrandom;az-6","testing",8.73
"550","ast422","textrandom;az-6","testing",8.73
"551","ast422","unknown;az-6","Successful Login",8.73
"552","ast422","textrandom;az-6","testing",8.73
"553","ast422","textrandom;az-6","testing",8.73
"554","ast422","unknown;az-6","Successful Login",8.73
"555","ast422","textrandom;az-6","testing",8.73
"556","ast422","textrandom;az-6","testing",8.73
"557","ast422","unknown;az-6","Successful Login",8.73
"558","ast422","unknown;N/A","testing",8.73
"559","ast422","unknown;N/A","testing",8.74
"560","ast423","unknown;N/A","testing",0.04
"561","ast423","textrandom;az-6","Created Password",0
"562","ast423","textrandom;az-6","testing",0
"563","ast423","textrandom;az-6","testing",0
"564","ast423","textrandom;az-6","testing",0
"565","ast423","textrandom;az-6","testing",0
"566","ast423","textrandom;az-6","testing",0
"567","ast423","textrandom;az-6","testing",0
"568","ast423","unknown;az-6","Successful Login",0
"569","ast423","textrandom;az-6","Created Password",0
"570","ast423","textrandom;az-6","testing",0
"571","ast423","textrandom;az-6","testing",0
"572","ast423","textrandom;az-6","testing",0
"573","ast423","textrandom;az-6","testing",0
"574","ast423","textrandom;az-6","testing",0
"575","ast423","textrandom;az-6","testing",0
"576","ast423","unknown;az-6","Successful Login",0
"577","ast423","textrandom;az-6","Created Password",0
"578","ast423","textrandom;az-6","testing",0
"579","ast423","textrandom;az-6","testing",0
"580","ast423","textrandom;az-6","testing",0
"581","ast423","textrandom;az-6","testing",0
"582","ast423","textrandom;az-6","testing",0
"583","ast423","unknown;az-6","Successful Login",0
"584","ast423","unknown;N/A","testing",0
"585","ast423","textrandom;az-6","testing",1.24
"586","ast423","textrandom;az-6","testing",1.24
"587","ast423","textrandom;az-6","testing",1.24
"588","ast423","textrandom;az-6","testing",1.24
"589","ast423","textrandom;az-6","testing",1.24
"590","ast423","textrandom;az-6","testing",1.24
"591","ast423","textrandom;az-6","testing",1.24
"592","ast423","unknown;az-6","Failed Login",1.24
"593","ast423","textrandom;az-6","Created Password",0
"594","ast423","textrandom;az-6","testing",0
"595","ast423","textrandom;az-6","testing",0
"596","ast423","textrandom;az-6","testing",0
"597","ast423","unknown;az-6","testing",0
"598","ast423","unknown;az-6","testing",0
"599","ast423","textrandom;az-6","testing",0
"600","ast423","textrandom;az-6","testing",0
"601","ast423","unknown;az-6","Successful Login",0
"602","ast423","textrandom;az-6","Created Password",0
"603","ast423","textrandom;az-6","testing",0
"604","ast423","textrandom;az-6","testing",0
"605","ast423","textrandom;az-6","testing",0
"606","ast423","unknown;az-6","testing",0
"607","ast423","unknown;az-6","testing",0
"608","ast423","textrandom;az-6","testing",0
"609","ast423","textrandom;az-6","testing",0
"610","ast423","unknown;az-6","Successful Login",0
"611","ast423","textrandom;az-6","Created Password",0
"612","ast423","textrandom;az-6","testing",0
"613","ast423","textrandom;az-6","testing",0
"614","ast423","textrandom;az-6","testing",0
"615","ast423","unknown;az-6","testing",0
"616","ast423","unknown;az-6","testing",0
"617","ast423","textrandom;az-6","testing",0
"618","ast423","textrandom;az-6","testing",0
"619","ast423","unknown;az-6","Successful Login",0
"620","ast423","unknown;N/A","testing",0
"621","ast423","textrandom;az-6","testing",1.84
"622","ast423","textrandom;az-6","testing",1.84
"623","ast423","unknown;az-6","Successful Login",1.84
"624","ast423","textrandom;az-6","testing",1.84
"625","ast423","textrandom;az-6","testing",1.84
"626","ast423","unknown;az-6","Successful Login",1.84
"627","ast423","textrandom;az-6","testing",1.84
