"","user","scheme","site","event","timeTaken_sec"
"1","ipt401","unknown;N/A","HS-2011-104","testing",0
"191","ipt402","testpasstiles;ImageP","studentlife","testing",1
"192","ipt402","testpasstiles;ImageP","studentlife","testing",36
"193","ipt402","testpasstiles;ImageP","studentlife","testing",36
"194","ipt402","testpasstiles;ImageP","studentlife","testing",53
"195","ipt402","testpasstiles;ImageP","studentlife","testing",53
"196","ipt402","testpasstiles;ImageP","studentlife","testing",62
"197","ipt402","testpasstiles;ImageP","studentlife","testing",62
"198","ipt402","testpasstiles;ImageP","studentlife","testing",65
"199","ipt402","testpasstiles;ImageP","studentlife","testing",65
"200","ipt402","testpasstiles;ImageP","studentlife","testing",66
"201","ipt402","testpasstiles;ImageP","studentlife","testing",70
"202","ipt402","testpasstiles;ImageP","studentlife","testing",102
"203","ipt402","testpasstiles;ImageP","studentlife","testing",102
"204","ipt402","testpasstiles;ImageP","studentlife","Created Password",0
"205","ipt402","testpasstiles;ImageP","studentlife","testing",0
"206","ipt402","testpasstiles;ImageP","studentlife","testing",0
"207","ipt402","testpasstiles;ImageP","studentlife","testing",1
"208","ipt402","testpasstiles;ImageP","studentlife","testing",41
"209","ipt402","testpasstiles;ImageP","studentlife","testing",41
"210","ipt402","testpasstiles;ImageP","studentlife","testing",47
"211","ipt402","testpasstiles;ImageP","studentlife","testing",47
"212","ipt402","testpasstiles;ImageP","studentlife","testing",53
"213","ipt402","testpasstiles;ImageP","studentlife","testing",53
"214","ipt402","testpasstiles;ImageP","studentlife","testing",67
"215","ipt402","testpasstiles;ImageP","studentlife","testing",67
"216","ipt402","testpasstiles;ImageP","studentlife","testing",71
"217","ipt402","testpasstiles;ImageP","studentlife","testing",71
"218","ipt402","testpasstiles;ImageP","studentlife","testing",72
"219","ipt402","testpasstiles;ImageP","studentlife","testing",75
"220","ipt402","testpasstiles;ImageP","studentlife","testing",95
"221","ipt402","testpasstiles;ImageP","studentlife","testing",96
"222","ipt402","testpasstiles;ImageP","studentlife","testing",138
"223","ipt402","testpasstiles;ImageP","studentlife","testing",192
"224","ipt402","testpasstiles;ImageP","studentlife","testing",206
"225","ipt402","testpasstiles;ImageP","studentlife","testing",206
"226","ipt402","unknown;ImagePasstil","studentlife","Successful Login",208
"227","ipt402","testpasstiles;ImageP","voteforyou","Created Password",0
"228","ipt402","testpasstiles;ImageP","voteforyou","testing",0
"229","ipt402","testpasstiles;ImageP","voteforyou","testing",1
"230","ipt402","testpasstiles;ImageP","voteforyou","testing",1
"231","ipt402","testpasstiles;ImageP","voteforyou","testing",44
"232","ipt402","testpasstiles;ImageP","voteforyou","testing",44
"233","ipt402","testpasstiles;ImageP","voteforyou","testing",50
"234","ipt402","testpasstiles;ImageP","voteforyou","testing",51
"235","ipt402","testpasstiles;ImageP","voteforyou","testing",57
"236","ipt402","testpasstiles;ImageP","voteforyou","testing",57
"237","ipt402","testpasstiles;ImageP","voteforyou","testing",61
"238","ipt402","testpasstiles;ImageP","voteforyou","testing",62
"239","ipt402","testpasstiles;ImageP","voteforyou","testing",62
"240","ipt402","testpasstiles;ImageP","voteforyou","Created Password",0
"241","ipt402","testpasstiles;ImageP","voteforyou","testing",0
"242","ipt402","testpasstiles;ImageP","voteforyou","testing",1
"243","ipt402","testpasstiles;ImageP","voteforyou","testing",1
"244","ipt402","testpasstiles;ImageP","voteforyou","testing",41
"245","ipt402","testpasstiles;ImageP","voteforyou","testing",42
"246","ipt402","testpasstiles;ImageP","voteforyou","testing",47
"247","ipt402","testpasstiles;ImageP","voteforyou","testing",48
"248","ipt402","testpasstiles;ImageP","voteforyou","testing",53
"249","ipt402","testpasstiles;ImageP","voteforyou","testing",53
"250","ipt402","testpasstiles;ImageP","voteforyou","testing",57
"251","ipt402","testpasstiles;ImageP","voteforyou","testing",60
"252","ipt402","testpasstiles;ImageP","voteforyou","testing",60
"253","ipt402","testpasstiles;ImageP","voteforyou","testing",63
"254","ipt402","testpasstiles;ImageP","voteforyou","testing",76
"255","ipt402","testpasstiles;ImageP","voteforyou","testing",76
"256","ipt402","testpasstiles;ImageP","wvacation","testing",361
"257","ipt402","testpasstiles;ImageP","wvacation","testing",397
"258","ipt402","testpasstiles;ImageP","wvacation","testing",397
"259","ipt402","unknown;ImagePasstil","wvacation","Successful Login",397
"260","ipt402","testpasstiles;ImageP","voteforyou","testing",699
"261","ipt402","testpasstiles;ImageP","voteforyou","testing",709
"262","ipt402","testpasstiles;ImageP","voteforyou","testing",709
"263","ipt402","unknown;ImagePasstil","voteforyou","Successful Login",709
"264","ipt402","unknown;N/A","HS-2011-1031","testing",1133
"265","ipt402","unknown;N/A","HS-2011-1031","testing",1202
"266","ipt402","unknown;N/A","HS-2011-1041","testing",1277
"267","ipt402","unknown;N/A","HS-2011-1035","testing",84288
"268","ipt402","unknown;N/A","HS-2011-1042","testing",84391
"269","ipt402","unknown;N/A","HS-2011-1034","testing",84485
"270","ipt402","unknown;N/A","HS-2011-1034","testing",84496
"271","ipt402","unknown;N/A","HS-2011-1034","testing",95371
"272","ipt402","unknown;N/A","HS-2011-1034","testing",95410
"273","ipt402","unknown;N/A","HS-2011-1034","testing",95411
"274","ipt402","unknown;N/A","HS-2011-1034","testing",95411
"275","ipt402","unknown;N/A","HS-2011-1034","testing",95413
"276","ipt402","unknown;N/A","HS-2011-1042","testing",96013
"277","ipt402","unknown;N/A","HS-2011-1042","testing",96035
"278","ipt402","unknown;N/A","HS-2011-1042","testing",96065
"279","ipt402","unknown;N/A","HS-2011-1042","testing",96067
"280","ipt402","unknown;N/A","HS-2011-1035","testing",96220
"281","ipt402","unknown;N/A","HS-2011-1042","testing",96305
"282","ipt402","unknown;N/A","HS-2011-1042","testing",98121
"283","ipt402","unknown;N/A","HS-2011-1042","testing",98130
"284","ipt402","unknown;N/A","HS-2011-1042","testing",98131
"285","ipt402","unknown;N/A","HS-2011-1042","testing",98132
"286","ipt402","unknown;N/A","HS-2011-1042","testing",98132
"287","ipt402","unknown;N/A","HS-2011-1042","testing",98132
"288","ipt402","unknown;N/A","HS-2011-1042","testing",98132
"289","ipt402","unknown;N/A","HS-2011-1042","testing",98138
"290","ipt402","unknown;N/A","HS-2011-1042","testing",98165
"291","ipt402","unknown;N/A","HS-2011-1042","testing",98194
"292","ipt402","unknown;N/A","HS-2011-1042","testing",98599
"293","ipt402","unknown;N/A","HS-2011-1042","testing",98710
"294","ipt402","unknown;N/A","HS-2011-1042","testing",153872
"295","ipt402","unknown;N/A","HS-2011-1042","testing",166345
"296","ipt402","unknown;N/A","HS-2011-1043","testing",274821
"297","ipt402","unknown;N/A","HS-2011-1043","testing",274833
"298","ipt402","unknown;N/A","HS-2011-1043","testing",274842
"299","ipt402","unknown;N/A","HS-2011-1041","testing",275069
"300","ipt402","unknown;N/A","HS-2011-1041","testing",275084
"301","ipt402","testpasstiles;ImageP","studentlife","testing",320199
"302","ipt402","testpasstiles;ImageP","studentlife","testing",320225
"303","ipt402","testpasstiles;ImageP","studentlife","testing",320225
"304","ipt402","unknown;ImagePasstil","studentlife","Successful Login",320225
"305","ipt402","testpasstiles;ImageP","wvacation","testing",320330
"306","ipt402","testpasstiles;ImageP","wvacation","testing",320351
"307","ipt402","testpasstiles;ImageP","wvacation","testing",320351
"308","ipt402","unknown;ImagePasstil","wvacation","Successful Login",320351
"309","ipt402","testpasstiles;ImageP","voteforyou","testing",320445
"310","ipt402","testpasstiles;ImageP","voteforyou","testing",320460
"311","ipt402","testpasstiles;ImageP","voteforyou","testing",320460
"312","ipt402","unknown;ImagePasstil","voteforyou","Successful Login",320460
"313","ipt402","testpasstiles;ImageP","studentlife","testing",320552
"314","ipt402","testpasstiles;ImageP","studentlife","testing",320575
"315","ipt402","testpasstiles;ImageP","studentlife","testing",320575
"316","ipt402","unknown;ImagePasstil","studentlife","Successful Login",320576
"317","ipt402","unknown;N/A","HS-2011-1043","testing",321285
"318","ipt402","unknown;N/A","HS-2011-1042","testing",329787
"319","ipt402","unknown;N/A","HS-2011-1043","testing",329825
"320","ipt402","unknown;N/A","HS-2011-1043","testing",329919
"321","ipt402","unknown;N/A","HS-2011-1043","testing",330005
"322","ipt402","unknown;N/A","HS-2011-1043","testing",330005
"323","ipt402","unknown;N/A","HS-2011-1043","testing",330010
"324","ipt402","unknown;N/A","HS-2011-1043","testing",330107
"325","ipt402","unknown;N/A","HS-2011-1042","testing",330296
"326","ipt402","unknown;N/A","HS-2011-1042","testing",330320
"327","ipt402","unknown;N/A","HS-2011-1041","testing",330353
"328","ipt402","unknown;N/A","HS-2011-1041","testing",330399
"329","ipt402","unknown;N/A","HS-2011-1041","testing",330402
"330","ipt402","unknown;N/A","HS-2011-1041","testing",330406
"331","ipt402","unknown;N/A","HS-2011-1041","testing",330409
"332","ipt402","unknown;N/A","HS-2011-1041","testing",330411
"333","ipt402","unknown;N/A","HS-2011-1041","testing",330413
"334","ipt402","unknown;N/A","HS-2011-1041","testing",330603
"335","ipt402","unknown;N/A","HS-2011-1041","testing",330626
"336","ipt402","unknown;N/A","HS-2011-1042","testing",350256
"337","ipt402","unknown;N/A","HS-2011-1042","testing",350275
"338","ipt402","unknown;N/A","HS-2011-1042","testing",440021
"339","ipt402","testpasstiles;ImageP","studentlife","testing",561850
"340","ipt402","testpasstiles;ImageP","studentlife","testing",561877
"341","ipt402","testpasstiles;ImageP","studentlife","testing",561877
"342","ipt402","unknown;ImagePasstil","studentlife","Successful Login",561878
"343","ipt402","testpasstiles;ImageP","wvacation","testing",561995
"344","ipt402","testpasstiles;ImageP","wvacation","testing",562010
"345","ipt402","testpasstiles;ImageP","wvacation","testing",562010
"346","ipt402","unknown;ImagePasstil","wvacation","Successful Login",562011
"347","ipt402","testpasstiles;ImageP","voteforyou","testing",562131
"348","ipt402","testpasstiles;ImageP","voteforyou","testing",562156
"349","ipt402","testpasstiles;ImageP","voteforyou","testing",562156
"350","ipt402","unknown;ImagePasstil","voteforyou","Successful Login",562157
"351","ipt402","unknown;N/A","HS-2011-1044","testing",562273
"352","ipt402","unknown;N/A","HS-2011-1044","testing",626724
"353","ipt402","unknown;N/A","HS-2011-1044","testing",626840
"354","ipt402","unknown;N/A","HS-2011-1042","testing",654541
"355","ipt402","unknown;N/A","HS-2011-1042","testing",654553
"356","ipt402","unknown;N/A","HS-2011-1045","testing",677258
"357","ipt402","unknown;N/A","HS-2011-1044","testing",680433
"358","ipt402","unknown;N/A","HS-2011-1044","testing",680543
"359","ipt402","unknown;N/A","HS-2011-1044","testing",680645
"360","ipt402","unknown;N/A","HS-2011-1044","testing",680745
"361","ipt402","unknown;N/A","HS-2011-1043","testing",680818
"362","ipt402","unknown;N/A","HS-2011-1044","testing",680913
"363","ipt402","unknown;N/A","HS-2011-1042","testing",684608
"364","ipt402","testpasstiles;ImageP","voteforyou","testing",687482
"365","ipt402","testpasstiles;ImageP","voteforyou","testing",687510
"366","ipt402","testpasstiles;ImageP","voteforyou","testing",687510
"367","ipt402","unknown;ImagePasstil","voteforyou","Successful Login",687511
"368","ipt402","testpasstiles;ImageP","studentlife","testing",687560
"369","ipt402","testpasstiles;ImageP","studentlife","testing",687581
"370","ipt402","testpasstiles;ImageP","studentlife","testing",687588
"371","ipt402","unknown;ImagePasstil","studentlife","Successful Login",687588
"372","ipt402","testpasstiles;ImageP","wvacation","testing",687673
"373","ipt402","testpasstiles;ImageP","wvacation","testing",687686
"374","ipt402","testpasstiles;ImageP","wvacation","testing",687687
"375","ipt402","unknown;ImagePasstil","wvacation","Successful Login",687687
"376","ipt402","unknown;N/A","HS-2011-1045","testing",688172
"377","ipt402","unknown;N/A","HS-2011-1045","testing",691279
"378","ipt402","unknown;N/A","HS-2011-1045","testing",691297
"379","ipt402","unknown;N/A","HS-2011-1045","testing",691389
"380","ipt402","unknown;N/A","HS-2011-1045","testing",691468
"381","ipt402","unknown;N/A","HS-2011-1045","testing",691536
"382","ipt402","unknown;N/A","HS-2011-1045","testing",691544
